,ID_Video,Category,Annotator,Question,Answer,Caption,Foil,Idefics_Answer,System_evaluation
121,31418118@N00_3210797351_183d815d23.mov,Occult entity,Alessandro B.,What on the left?,The rabbit's cage,The rabbit's cage is on the left., The rabbit's cage is on the right.,A black cat,Not_correct
122,31418118@N00_3210797351_183d815d23.mov,Entity tracking,Alessandro B.,Where does the rabbit go at the end of the video,It goes down the corridor,The rabbit goes down the corridor., The rabbit goes up the corridor.,The rabbit goes back to its cage.,Not_correct
123,31418118@N00_3210797351_183d815d23.mov,Temporal,Alessandro B.,What happens to the car toy?,It get tossed around by the rabbit,The rabbit tosses around the car toy., The car tosses around the rabbit toy.,The car toy is thrown away.,Not_correct
124,31418118@N00_3210797351_183d815d23.mov,Causal,Alessandro B.,What happens when the rabbbit tosses the toy=,It falls,The toy falls when the rabbit tosses it., The rabbit falls when the toy tosses it.,The toy flies out of the rabbbit's mouth and lands on the floor.,Not_correct
125,31418118@N00_3210797351_183d815d23.mov,Commonsense,Alessandro B.,Is this wild rabbit?,"No, it is domesticated",The rabbit in the video is domesticated., The rabbit in the video is a wild species.,"No, this is not a wild rabbit. It is a domestic rabbit.",Correct
126,31418118@N00_3210797351_183d815d23.mov,Implicit,Alessandro B.,Where does the rabbit live?,In the cage,The rabbit lives in a cage., The rabbit lives in a hutch.,The rabbit lives in a cage.,Correct
127,31418118@N00_3210797351_183d815d23.mov,Outofscope,Lucia,Is the kid wearing a black t-shirt?,There is no kid,The video does not feature a kid in a black t-shirt., The video features a kid in a red t-shirt.,"Yes, the kid is wearing a black t-shirt.",Not_correct
128,31418118@N00_3210797351_183d815d23.mov,Counterfactual,Lucia,What would happen if the toy was heavier?,The rabbit couldn't lift it,The rabbit struggled to lift the heavier toy., The rabbit struggled to lift the lighter toy.,"If the toy was heavier, it would be more difficult for the cat to move it. The cat might need to use more force or even jump to move the toy, which could be dangerous for the cat.",Not_correct
129,31418118@N00_3210797351_183d815d23.mov,Uncertainty,Lucia,What is at the end of the corridor?,Can't see,The end of the corridor is not visible., The middle of the corridor is not visible.,A cat is at the end of the corridor.,Not_correct
130,31418118@N00_3210797351_183d815d23.mov,Sentiment,Lucia,Do the rabbit seem sad?,No,The rabbit appears to be content., The rabbit appears to be distressed.,"Yes, the rabbit seems sad.",Not_correct
131,31418118@N00_3210797351_183d815d23.mov,Occult entity,Lucia,What is behind the paper?,The toy car,A toy car is behind the paper., A toy car is in front of the paper.,A black cat is behind the paper.,Not_correct
132,31418118@N00_3210797351_183d815d23.mov,Entity tracking,Lucia,How the rabbit moves around?,It first goes towards the camera then far away,The rabbit moves towards and away from the camera., The rabbit moves towards and away from the microphone.,The rabbit moves around by hopping on its two hind legs.,Not_correct
133,31418118@N00_3210797351_183d815d23.mov,Temporal,Lucia,Where is the rabbit at the end of the video?,At the end of the corridor,The rabbit is at the end of the corridor., The rabbit is at the beginning of the corridor.,The rabbit is on the floor.,Not_correct
134,31418118@N00_3210797351_183d815d23.mov,Causal,Lucia,Why the rabbit tosses the toy?,Because it is playing,The rabbit plays with the toy and tosses it around., The rabbit plays with the toy and cuddles it affectionately.,The rabbit tosses the toy because it is curious and wants to play with it.,Correct
135,31418118@N00_3210797351_183d815d23.mov,Commonsense,Lucia,Why is there a cage?,Because it is where the rabbit lives,The rabbit lives in the cage., The rabbit lives in the hutch.,The cage is likely used to house the rabbit or other small animals.,Correct
136,31418118@N00_3210797351_183d815d23.mov,Implicit,Lucia,Is the person filming the owner of the house?,"Yes, probably",The filmer is likely the owner of the house., The filmer is likely a guest in the house.,"It is not clear from the image who is filming. The image shows a black cat playing with a paper towel on a table, and a person is visible in the background, but it is not clear if the person is the owner of the house or not.",Not_correct
137,31418118@N00_3210797351_183d815d23.mov,Outofscope,Davide,Where is the boy running to?,There is no boy in the scene,The scene doesn't feature a running boy., The scene features a running boy.,The boy is running to the kitchen.,Not_correct
138,31418118@N00_3210797351_183d815d23.mov,Counterfactual,Davide,The rabbit could have entered his cage if he had wanted to?,Yes,The rabbit had the option to enter the cage., The rabbit had no option but to enter the cage.,"Yes, the rabbit could have entered his cage if he had wanted to.",Correct
139,31418118@N00_3210797351_183d815d23.mov,Counterfactual,Davide,What would have happened to the rabbit at the end of the video if the room door had been closed?,It could not have escaped to the other room,The rabbit would have been unable to escape to the other room if the door was closed., The rabbit would have been able to escape to the other room if the door was closed.,"If the room door had been closed, the rabbit would have been trapped inside and unable to escape. This could have led to the rabbit getting stressed or even injured if it tried to escape through the door.",Correct
140,31418118@N00_3210797351_183d815d23.mov,Uncertainty,Davide,Is the rabbit running to go eating?,Don't know,The rabbit's intentions remain unknown., The rabbit's intentions have been revealed.,"Yes, the rabbit is running to go eating.",Not_correct
141,31418118@N00_3210797351_183d815d23.mov,Uncertainty,Davide,Is the rabbit hungry?,Don't know,The rabbit's hunger status is uncertain., The rabbit's health status is uncertain.,"Yes, the rabbit is hungry.",Not_correct
142,31418118@N00_3210797351_183d815d23.mov,Occult entity,Davide,Where was the toy car before the rabbit threw it away?,Behind the cardboard,The toy car was behind the cardboard before the rabbit threw it away., The toy car was on top of the cardboard before the rabbit threw it away.,The toy car was on the table before the rabbit threw it away.,Not_correct
143,31418118@N00_3210797351_183d815d23.mov,Entity tracking,Davide,Where does the rabbit escape?,It goes to another room,The rabbit escapes to another room., The rabbit escapes to the backyard.,The rabbit escapes from the box.,Correct
144,31418118@N00_3210797351_183d815d23.mov,Temporal,Davide,Does the rabbit play first with the toy car and then with the cardboard?,Yes,The rabbit plays with both a toy car and cardboard., The rabbit plays with only a toy car and not cardboard.,"Yes, the rabbit plays first with the toy car and then with the cardboard.",Correct
145,31418118@N00_3210797351_183d815d23.mov,Causal,Davide,Why does the toy car fly?,Because the rabbit throws it away,The toy car is thrown by the rabbit and flies through the air., The toy car is thrown by the rabbit and falls to the ground.,"The toy car flies because it is a paper airplane. Paper airplanes are designed to fly by using the principles of aerodynamics. They have a lightweight frame, a streamlined shape, and a wing design that allows them to glide through the air. Wh",Not_correct
146,31418118@N00_3210797351_183d815d23.mov,Commonsense,Davide,Has the rabbit gone crazy?,"No, he's just playing","The rabbit is not crazy, he's just playing."," The rabbit is not playing, he's just crazy.","No, the rabbit is not going crazy. It is just playing with the tissue paper. Rabbits are known to be playful animals and often engage in various activities like playing with toys, chewing on objects, or even digging holes in the ground. In this","case,"
147,31418118@N00_3210797351_183d815d23.mov,Implicit,Davide,Is the rabbit owned by someone?,Probably yes,The rabbit is likely a pet., The rabbit is likely a wild animal.,"Yes, the rabbit is owned by someone.",Correct
148,31418118@N00_3210797351_183d815d23.mov,Outofscope,Giovanni,Are there three or four bottles?,no bottles,The video shows no bottles., The video shows no cups.,There are four bottles.,Not_correct
149,31418118@N00_3210797351_183d815d23.mov,Counterfactual,Giovanni,What would happen if the rabbit was caged?,it would not have bitten so many things,The rabbit wouldn't have bitten as much if it was caged., The rabbit wouldn't have bitten as much if it was fed.,"If the rabbit was caged, it would be unable to move freely and would be confined to a limited space. This could lead to stress and anxiety for the rabbit, as well as a lack of exercise and mental stimulation. Caging a rabbit could also limit its ability",Not_correct
150,31418118@N00_3210797351_183d815d23.mov,Uncertainty,Giovanni,is the paper in the background showing a kiwi?,not easy to assess,The paper in the background is difficult to identify as a kiwi., The background on the paper is difficult to identify as an apple.,"Yes, the paper in the background is showing a kiwi.",Not_correct
151,31418118@N00_3210797351_183d815d23.mov,Sentiment,Giovanni,is the rabbit calm or somehow agitated?,the rabbit is agitated,The rabbit appears to be agitated in the video scene., The rabbit appears to be calm in the video scene.,The rabbit is somehow agitated.,Correct
152,31418118@N00_3210797351_183d815d23.mov,Occult entity,Giovanni,what is left behind the paper in foreground?,"a yellow car, or a brown paper",A yellow car or a brown paper is left behind in the foreground., A brown car or a yellow paper is left behind in the foreground.,A black cat,Not_correct
153,31418118@N00_3210797351_183d815d23.mov,Entity tracking,Giovanni,Where is the yellow mini car at the end of the video?,on the left near the box,The yellow mini car is on the left near the box., The yellow mini car is on the right near the box.,The yellow mini car is located at X:10 Y:130 with Width:100 and Height:100.,Not_correct
154,31418118@N00_3210797351_183d815d23.mov,Temporal,Giovanni,has the rabbit bitten the car befor biting the paper?,no,The rabbit has not bitten the car before biting the paper., The rabbit has bitten the car before biting the paper.,"Yes, the rabbit has bitten the car before biting the paper.",Not_correct
155,31418118@N00_3210797351_183d815d23.mov,Causal,Giovanni,what is the cause of the car falling?,the rabbit throw it up in the air,A rabbit caused the car to fall by throwing it up in the air., A car caused the rabbit to fall by throwing it up in the air.,The car is falling because it is being pushed by a cat.,Not_correct
156,31418118@N00_3210797351_183d815d23.mov,Commonsense,Giovanni,what is the cage for?,it is the rabbit house,The cage in the video is actually the house for a rabbit., The cage in the video is actually the house for a cat.,The cage is for the rabbit.,Correct
157,31418118@N00_3210797351_183d815d23.mov,Implicit,Giovanni,is the rabbit free to move in the room?,yes,The rabbit has freedom of movement in the room., The rabbit has limited freedom of movement in the room.,"Yes, the rabbit is free to move in the room.",Correct
158,31418118@N00_3210797351_183d815d23.mov,Outofscope,Raffaella,What's the color of the boy's hair?,There is no boy in the video,The video does not show a boy with hair of any color., The video shows a boy with blonde hair.,The boy has black hair.,Not_correct
159,31418118@N00_3210797351_183d815d23.mov,Counterfactual,Raffaella,What would happen to the car if it were made of glass?,break,The car made of glass would break., The car made of plastic would break.,"If the car were made of glass, it would be transparent and allow light to pass through it. This would make it difficult to see inside the car, especially at night or in low light conditions. The glass material would also be more vulnerable to damage from flying debris, such as rocks",Not_correct
160,31418118@N00_3210797351_183d815d23.mov,Uncertainty,Raffaella,Is the rabbit playing in an appartment?,"It seems so, but it's not completely clear","The rabbit may be playing in an apartment, but it's uncertain."," The rabbit may be playing in a house, but it's uncertain.","Yes, the rabbit is playing in an appartment.",Correct
161,31418118@N00_3210797351_183d815d23.mov,Sentiment,Raffaella,Is the rabbit calm?,No,The rabbit is not calm., The rabbit is calm.,"Yes, the rabbit is calm.",Not_correct
162,31418118@N00_3210797351_183d815d23.mov,Occult entity,Raffaella,What is beyond the white paper in the beggining of the video?,A car,A car can be seen beyond the white paper in the beginning of the video., A truck can be seen beyond the white paper in the beginning of the video.,A black cat is beyond the white paper in the beginning of the video.,Not_correct
163,31418118@N00_3210797351_183d815d23.mov,Entity tracking,Raffaella,"In the beggining of the video the rabit graps a car, where is the car later?",Next to the box,The car is seen next to the box in the video., The box is seen next to the car in the video.,The car is on the floor.,Not_correct
164,31418118@N00_3210797351_183d815d23.mov,Temporal,Raffaella,During the video is the rabit almost always moving?,Yes,The rabbit is in constant motion throughout the video., The turtle is in constant motion throughout the video.,"Yes, the rabbit is always moving.",Correct
165,31418118@N00_3210797351_183d815d23.mov,Causal,Raffaella,What cause the car to appear in the scene?,The rabit launches it,The car was launched by a rabbit., The rabbit was launched by a car.,The car appears in the scene because it is parked in the driveway.,Not_correct
166,31418118@N00_3210797351_183d815d23.mov,Outofscope,Alessio,What is the rabbit doing inside the cage?,The rabbit is not inside the cage.,The rabbit is not inside the cage., The rabbit is inside the cage.,The rabbit is eating hay inside the cage.,Not_correct
167,31418118@N00_3210797351_183d815d23.mov,Counterfactual,Alessio,What would have happened if the little yellow car had been bigger?,The rabbit probably would not have been able to throw it.,The rabbit was able to throw the little yellow car., The rabbit was unable to throw the little yellow car.,"If the little yellow car had been bigger, it would have been able to drive over the paper and continue its journey without any issues. However, since it is small, it gets stuck in the paper and needs assistance to continue its journey.",Not_correct
168,31418118@N00_3210797351_183d815d23.mov,Uncertainty,Alessio,Will the rabbit return to the room where he previously played?,I do not have enough elements to answer this question.,"Based on the given answer, it is not possible to create a declarative sentence caption for the video."," Based on the given answer, it is possible to create a declarative sentence caption for the video.","Yes, the rabbit will return to the room where he previously played.",Not_correct
169,31418118@N00_3210797351_183d815d23.mov,Sentiment,Alessio,What is the attitude of the rabbit?,The rabbit seems playful.,The playful rabbit steals the show., The mischievous rabbit steals the show.,The rabbit is curious.,Not_correct
170,31418118@N00_3210797351_183d815d23.mov,Occult entity,Alessio,Where is the piece of cardboard at the end of the video?�,It is hidden behind the sheets of paper.,The piece of cardboard is hidden behind the sheets of paper., The piece of cardboard is hidden behind the sheet of paper.,The piece of cardboard is on the floor.,Not_correct
171,31418118@N00_3210797351_183d815d23.mov,Entity tracking,Alessio,Where does the rabbit run to in the final part of the video?,The rabbit runs toward another room.,The rabbit runs towards another room., The rabbit runs towards the same room.,The rabbit runs to the left side of the screen.,Not_correct
172,31418118@N00_3210797351_183d815d23.mov,Temporal,Alessio,Can you order the sequence of actions taken by the rabbit from last to first?,1) The rabbit starts running 2) It throws the toy car 3) Ithrows the piece of cardboard 4) It pulls the toy car out of the paper.,"The rabbit pulls the toy car out of the paper, throws it along with a piece of cardboard, and then starts running."," The rabbit pulls the toy car out of the paper, throws it along with a piece of cardboard, and then starts hopping.","Yes, the sequence of actions taken by the rabbit from last to first is:",It is
173,31418118@N00_3210797351_183d815d23.mov,Causal,Alessio,What happens to the piece of cardboard after the rabbit throws it?,The piece of cardboard falls behind the paper sheets.,The piece of cardboard falls behind the paper sheets after the rabbit throws it., The piece of cardboard falls on top of the paper sheets after the rabbit throws it.,The piece of cardboard lands on the floor.,Not_correct
174,31418118@N00_3210797351_183d815d23.mov,Commonsense,Alessio,Does the rabbit live in the cage visible at the left of the frame?,Yes.,The rabbit lives in the visible cage on the left side of the frame., The rabbit lives in the visible cage on the right side of the frame.,"Yes, the rabbit lives in the cage visible at the left of the frame.",Correct
175,31418118@N00_3210797351_183d815d23.mov,Implicit,Alessio,Does the rabbit have an owner?,Probably yes.,The rabbit likely has an owner., The rabbit likely has no owner.,"Yes, the rabbit has an owner.",Correct
176,43507350@N00_7805483128_dd2856665f.mp4,Outofscope,Alessandro B.,What is the boy doing?,There is no boy in the video, The video does not feature a boy., The video features a girl.,The boy is feeding a koala.,Not_correct
177,43507350@N00_7805483128_dd2856665f.mp5,Counterfactual,Alessandro B.,What would happen if the kangaroo was not hungry,It wouldn't get close to the girl,The kangaroo stays away from the girl when not hungry., The kangaroo stays close to the girl when not hungry.,"If the kangaroo was not hungry, it would not eat the food offered by the woman. Instead, it would continue to graze on grass or other vegetation in its natural habitat.",Correct
178,43507350@N00_7805483128_dd2856665f.mp6,Uncertainty,Alessandro B.,Are there other kangaroos?,Can't tell,Kangaroos' presence remains uncertain., Koalas' presence remains uncertain.,"Yes, there are two kangaroos in the image.",Correct
179,43507350@N00_7805483128_dd2856665f.mp7,Sentiment,Alessandro B.,Is the girl happy?,Yes,The girl is happy., The boy is happy.,"Yes, the girl is happy.",Correct
180,43507350@N00_7805483128_dd2856665f.mp8,Occult entity,Alessandro B.,What is the girl holding in her hand?,Food for the kangaroo,The girl is holding food for the kangaroo., The girl is holding a toy for the kangaroo.,The girl is holding a cracker in her hand.,Correct
181,43507350@N00_7805483128_dd2856665f.mp9,Entity tracking,Alessandro B.,Where does the kangaroo goes at the end of the video,It gets away from the gril,The kangaroo escapes from the girl in the end., The girl escapes from the kangaroo in the end.,The kangaroo goes back to its pen.,Not_correct
182,43507350@N00_7805483128_dd2856665f.mp10,Temporal,Alessandro B.,What happens at the end of the video?,The girl waves to the camera,The girl waves to the camera at the end of the video., The girl blows a kiss to the camera at the end of the video.,"At the end of the video, the woman is seen picking up a rock.",Not_correct
183,43507350@N00_7805483128_dd2856665f.mp11,Causal,Alessandro B.,Why the kangaroo gets near the girl,To eat from her hand,The kangaroo approaches the girl to eat from her hand., The girl approaches the kangaroo to eat from its hand.,The kangaroo gets near the girl because it is attracted to the food she is holding in her hand.,Correct
184,43507350@N00_7805483128_dd2856665f.mp12,Commonsense,Alessandro B.,Where are they?,Probably in Australia,They are likely in Australia., They are likely in New Zealand.,They are on the grass.,Not_correct
185,43507350@N00_7805483128_dd2856665f.mp13,Implicit,Alessandro B.,Who is the girl waving to?,The person filming her and the kangaroo,The girl is waving to the person filming her and the kangaroo., The person filming the kangaroo is waving back to the girl.,The girl is waving to the camera.,Correct
186,43507350@N00_7805483128_dd2856665f.mp14,Outofscope,Lucia,Is there a man in the video?,"No, there is no visible man.",The video does not show any visible man., The video shows two visible men.,"No, there is no man in the video.",Correct
187,43507350@N00_7805483128_dd2856665f.mp15,Uncertainty,Lucia,Is there a baby kangooro?,Not possible to infere the kangooro's age.,A kangooro's age cannot be inferred., A koala's age cannot be inferred.,"No, there is no baby kangooro in the image.",Not_correct
188,43507350@N00_7805483128_dd2856665f.mp16,Sentiment,Lucia,Is the kangooro scared?,"Yes, it seems.",The kangaroo appears to be scared., The kangaroo appears to be happy.,"No, the kangaroo is not scared.",Not_correct
189,43507350@N00_7805483128_dd2856665f.mp17,Occult entity,Lucia,Is there a man in the video?,"The man is not visible, but it's possible to hear his voice.","You can hear the man's voice, but he is not visible in the video."," You cannot hear the man's voice, but he is visible in the video.","No, there is no man in the video.",Not_correct
190,43507350@N00_7805483128_dd2856665f.mp19,Temporal,Lucia,When does the kangooro eat from the woman's hand?,In the first three seconds of the video,The kangaroo eats from the woman's hand within the first three seconds of the video., The woman's hand eats from the kangaroo within the first three seconds of the video.,The kangooro eats from the woman's hand while she is kneeling down.,Correct
191,43507350@N00_7805483128_dd2856665f.mp20,Outofscope,Davide,Why is the woman feeding the rabbit?,There is no rabbit in the scene. She's feeding the kangaroo,The woman is feeding the kangaroo in the video., The man is feeding the kangaroo in the video.,The woman is feeding the rabbit because she is a wildlife carer and is taking care of the rabbit.,Correct
192,43507350@N00_7805483128_dd2856665f.mp21,Counterfactual,Davide,What if the woman had given poisoned food to the kangaroo?,It would have died,The kangaroo would have died if it had eaten the poisoned food., The kangaroo did die after eating the poisoned food.,"If the woman had given poisoned food to the kangaroo, it could have resulted in serious health issues or even death for the kangaroo. Poisoned food can cause severe digestive problems, organ damage, and even death in some cases. It is important to rememb",Not_correct
193,43507350@N00_7805483128_dd2856665f.mp22,Uncertainty,Davide,Is the kangaroo old?,I don't know,The age of the kangaroo is unknown., The gender of the kangaroo is unknown.,"No, the kangaroo is not old.",Not_correct
194,43507350@N00_7805483128_dd2856665f.mp23,Sentiment,Davide,Does the kangaroo seem to be afraid of the woman?,Only at the end of the video,The kangaroo appears to be afraid of the woman towards the end of the video., The woman appears to be afraid of the kangaroo towards the end of the video.,"No, the kangaroo does not seem to be afraid of the woman. In fact, it is engaging with her and eating out of her hand.",Not_correct
195,43507350@N00_7805483128_dd2856665f.mp24,Entity tracking,Davide,Does the woman stand for the whole video?,"No, only at the beginning of it",The woman appears only at the beginning of the video., The woman appears only at the end of the video.,"Yes, the woman stands for the entire video.",Not_correct
196,43507350@N00_7805483128_dd2856665f.mp25,Temporal,Davide,Does the woman get down before she starts feeding the kangaroo?,Yes,The woman gets down before feeding the kangaroo., The woman feeds the kangaroo before getting down.,"Yes, the woman gets down on her knees before she starts feeding the kangaroo.",Correct
197,43507350@N00_7805483128_dd2856665f.mp26,Causal,Davide,Why does the girl seem to be happy?,She's excited to interact with a kangaroo so closely,The girl is thrilled to have a close encounter with a kangaroo., The boy is thrilled to have a close encounter with a kangaroo.,"The girl seems to be happy because she is feeding a baby animal, a kangaroo, and enjoying the experience.",Correct
198,43507350@N00_7805483128_dd2856665f.mp27,Commonsense,Davide,Are they in a safari/ meadow / forest?,Yes,"The video was filmed in a natural environment such as a safari, meadow, or forest.", The video was filmed in a city environment such as a downtown or urban area.,They are in a grassy field.,Correct
199,43507350@N00_7805483128_dd2856665f.mp28,Implicit,Davide,Where was the video shot?,Australia,The video was shot in Australia., The video was shot in New Zealand.,The video was shot in Australia.,Correct
200,43507350@N00_7805483128_dd2856665f.mp29,Outofscope,Giovanni,what is the second kangaroo doing?,there is just one kangaroo,The kangaroo is alone., The wallaby is alone.,The second kangaroo is eating grass.,Not_correct
201,43507350@N00_7805483128_dd2856665f.mp30,Counterfactual,Giovanni,what would happen if the animal bites the lady?,she would screem,The lady would scream if the animal bites her., The lady would scream if the animal hisses at her.,"If the animal bites the lady, it could cause injury or infection, depending on the severity of the bite. The lady might need medical attention and treatment for the injury.",Correct
202,43507350@N00_7805483128_dd2856665f.mp31,Uncertainty,Giovanni,is the grass fully dry?,not sure,The grass may not be fully dry., The grass may be fully dry.,"Yes, the grass is dry.",Not_correct
203,43507350@N00_7805483128_dd2856665f.mp32,Sentiment,Giovanni,is the lady happy?,yes she is,The lady is happy., The lady is sad.,"Yes, the lady appears to be happy.",Correct
204,43507350@N00_7805483128_dd2856665f.mp33,Occult entity,Giovanni,where has the girl right foot flip flop gone?,is sill there on the right foot,The girl still has her right foot flip flop on., The girl still has her left foot flip flop on.,The girl's right foot flip flop has gone up.,Not_correct
205,43507350@N00_7805483128_dd2856665f.mp34,Entity tracking,Giovanni,does the take off her necklace at some point?,no,She does not take off her necklace at any point., She takes off her earrings at any point.,"Yes, the woman takes off her necklace at some point during the interaction with the kangaroo.",Not_correct
206,43507350@N00_7805483128_dd2856665f.mp35,Temporal,Giovanni,the lady waves her hand while giving food to the animal?,yes,The lady is seen waving her hand while giving food to the animal., The man is seen waving his hand while giving food to the animal.,"Yes, the lady waves her hand while giving food to the animal.",Correct
207,43507350@N00_7805483128_dd2856665f.mp36,Causal,Giovanni,What has caused the kangaroo to come near the lady?,her food,The kangaroo is approaching the lady because of her food., The lady is approaching the kangaroo because of its food.,"The kangaroo has come near the lady because she is holding out her hand with a treat in it, which has attracted the kangaroo's attention and curiosity.",Correct
208,43507350@N00_7805483128_dd2856665f.mp37,Commonsense,Giovanni,is the outside temperature cold freezing?,no,The outside temperature is not freezing., The inside temperature is freezing.,The outside temperature is cold and freezing.,Not_correct
209,43507350@N00_7805483128_dd2856665f.mp38,Implicit,Giovanni,is the animal hungry?,yes,The animal is hungry., The animal is thirsty.,"Yes, the animal is hungry.",Correct
210,43507350@N00_7805483128_dd2856665f.mp39,Outofscope,Raffaella,What does the woman do to the coala?,There are no coala.,The woman doesn't interact with any koalas., The woman interacts with a group of koalas.,The woman is feeding the koala.,Not_correct
211,43507350@N00_7805483128_dd2856665f.mp40,Counterfactual,Raffaella,What would happen if there were no food in the woman's hand,The kangaroo would not keep on eating from her hand,The kangaroo depends on the food in the woman's hand to keep eating., The kangaroo depends on the food in the man's hand to keep eating.,"If there were no food in the woman's hand, the hungry kangaroo would not be able to eat and would likely become frustrated or stressed. This could potentially lead to the kangaroo becoming aggressive or seeking alternative ways to obtain food, such as",Correct
212,43507350@N00_7805483128_dd2856665f.mp41,Uncertainty,Raffaella,Does the woman know the kangaroo well?,It seems it's the first time she sees a kangaroo,The woman encounters a kangaroo for the first time., The man encounters a kangaroo for the first time.,"Yes, the woman seems to be familiar with the kangaroo as she is comfortable enough to pet it and even feed it while it's eating from her hand.",Not_correct
213,43507350@N00_7805483128_dd2856665f.mp42,Sentiment,Raffaella,Is the woman happy or sad?,She is happy,The woman is happy., The man is happy.,The woman is happy.,Correct
214,43507350@N00_7805483128_dd2856665f.mp43,Occult entity,Raffaella,Where is the kangaroo in the middle of the video?,It's next to the woman,The kangaroo is next to the woman., The kangaroo is next to the man.,"The kangaroo is in the middle of the video, eating grass.",Not_correct
215,43507350@N00_7805483128_dd2856665f.mp44,Temporal,Raffaella,What does the kangaroo do while the woman waves?,it eats from the woman's hand,The kangaroo eats from the woman's hand as she waves., The woman eats from the kangaroo's hand as it waves.,The kangaroo is eating grass while the woman waves.,Not_correct
216,43507350@N00_7805483128_dd2856665f.mp45,Commonsense,Raffaella,How is the weather?,It seems nice weather.,The weather seems nice., The weather seems not nice.,The weather is sunny.,Correct
217,43507350@N00_7805483128_dd2856665f.mp46,Implicit,Raffaella,Does the woman likes kangaroo?,Yes,The woman likes kangaroo., The woman dislikes kangaroo.,"Yes, the woman seems to like the kangaroo as she is feeding and petting it.",Correct
218,43507350@N00_7805483128_dd2856665f.mp47,Outofscope,Alessio,What are the kangaroo babies doing?,There are no kangaroo babies present.,There are no kangaroo babies to be seen in this video scene., There are some kangaroo babies to be seen in this video scene.,The kangaroo babies are nursing from their mothers.,Not_correct
219,43507350@N00_7805483128_dd2856665f.mp48,Counterfactual,Alessio,What would have happened if the girl had started screaming?,Most probably the kangaroo would have run away.,The kangaroo would have run away if the girl screamed., The kangaroo would have run towards the girl if she screamed.,"If the girl had started screaming, the kangaroo might have become frightened and jumped away, potentially causing the girl to lose her balance and fall. The kangaroo might also react by defending itself, which could result in injuries to the girl or the k",Not_correct
220,43507350@N00_7805483128_dd2856665f.mp49,Uncertainty,Alessio,Is the kangaroo more or less than a year old?,There are not enough information the answer this question.,The kangaroo's age is unknown., The koala's age is unknown.,The kangaroo is less than a year old.,Not_correct
221,43507350@N00_7805483128_dd2856665f.mp50,Sentiment,Alessio,Is the girl happy?,Yes.,The girl is happy., The boy is happy.,"Yes, the girl is happy.",Correct
222,43507350@N00_7805483128_dd2856665f.mp51,Occult entity,Alessio,What kind of food is the girl holding?,It cannot be determined from the video.,The video does not reveal the type of food the girl is holding., The video only partially reveals the type of food the girl is holding.,The girl is holding a carrot.,Not_correct
223,43507350@N00_7805483128_dd2856665f.mp52,Entity tracking,Alessio,Does the kangaroo always occupy the same position in the frame throughout the video?,Yes.,The kangaroo maintains a consistent position in the frame throughout the video., The kangaroo's position shifts slightly in the frame throughout the video.,"No, the kangaroo is seen occupying different positions in the frame throughout the video.",Not_correct
224,43507350@N00_7805483128_dd2856665f.mp53,Temporal,Alessio,When does the girl wave to the person who is recording?,About halfway through the video.,The girl waves to the person recording around halfway through the video., The boy waves to the person recording around halfway through the video.,The girl waves to the person who is recording at the end of the video.,Not_correct
225,43507350@N00_7805483128_dd2856665f.mp54,Causal,Alessio,What happens after the girl offers her hand to the kangaroo?,The kangaroo starts eating from her hand.,The kangaroo happily eats from the girl's hand., The girl happily eats from the kangaroo's hand.,"After the girl offers her hand to the kangaroo, the kangaroo accepts her hand and starts licking her hand.",Not_correct
226,43507350@N00_7805483128_dd2856665f.mp55,Commonsense,Alessio,Was the video filmed in the summer?,Probably yes.,The video was likely filmed in the summer., The video was likely filmed in the winter.,"Yes, the video was filmed in the summer.",Correct
227,43507350@N00_7805483128_dd2856665f.mp56,Implicit,Alessio,In what country was the video shot?,In Australia.,The video was shot in Australia., The video was shot in New Zealand.,The video was shot in Australia.,Correct
228,57862612@N00_4708165016_f818af49fa.avi,Outofscope,Alessandro B.,Is there food on the floor?,"No, there is no food","The floor is clean, there is no food."," The floor is dirty, there is no food.","Yes, there is food on the floor.",Not_correct
229,57862612@N00_4708165016_f818af49fa.avi,Counterfactual,Alessandro B.,What would happen if the bat fell,Someone would pick it up and give it back to the child,The bat was dropped but quickly picked up and returned to the child., The baseball was dropped but quickly picked up and returned to the child.,"If the bat fell, the boy would have to quickly react and catch it with his hands. If he fails to do so, the bat could potentially hit someone or something in the room.",Not_correct
230,57862612@N00_4708165016_f818af49fa.avi,Uncertainty,Alessandro B.,What is behind the blue curtain,There are not enough element to know,Behind the blue curtain is unknown as there are not enough elements to determine what is behind it., Behind the red curtain is unknown as there are not enough elements to determine what is behind it.,There is a table behind the blue curtain.,Not_correct
231,57862612@N00_4708165016_f818af49fa.avi,Sentiment,Alessandro B.,Are the kids unhappy?,"No, they are having fun",The kids are having fun!, The adults are having fun!,"No, the kids are not unhappy. They are watching the boy perform a dance routine.",Correct
232,57862612@N00_4708165016_f818af49fa.avi,Occult entity,Alessandro B.,Where is the table?,On the stage in the background,The table can be seen on the background stage., The chair can be seen on the background stage.,The table is located in the middle of the room.,Not_correct
233,57862612@N00_4708165016_f818af49fa.avi,Entity tracking,Alessandro B.,There is a person with a red shirt in the background. What does the person do at the end of the video?,The person claps their hands,A person in a red shirt claps their hands at the end of the video., A person in a blue shirt claps their hands at the end of the video.,The person with the red shirt in the background is holding a camera.,Not_correct
